2010-10-10 18:30:48,0,C1065,389,C3799,N10451,6,10,5323
2010-10-10 18:30:48,0,C1423,N1136,C1707,N1,6,5,847
2010-10-10 18:30:48,0,C1423,N1142,C1707,N1,6,5,847
2010-10-10 18:30:48,0,C14909,N8191,C5720,2049,6,1,52
2010-10-10 18:30:48,0,C14909,N8192,C5720,2049,6,1,52
2010-10-10 18:30:48,0,C14909,N8193,C5720,2049,6,1,52
2010-10-10 18:30:48,0,C1707,N1,C1423,N1136,6,4,414
2010-10-10 18:30:48,0,C1707,N1,C1423,N1142,6,4,413
2010-10-10 18:30:48,0,C1707,N1,C925,N10487,6,4,414
2010-10-10 18:30:48,0,C1707,N1,C925,N10491,6,4,413
2010-10-10 18:30:48,0,C3587,N44,C528,N17,1,2,120
2010-10-10 18:30:48,0,C3799,N10451,C1065,389,6,12,3007
2010-10-10 18:30:48,0,C4879,N2369,C585,139,6,1,46
2010-10-10 18:30:48,0,C528,N17,C3587,N17,1,2,120
2010-10-10 18:30:48,0,C5720,2049,C14909,N8191,6,1,52
2010-10-10 18:30:48,0,C5720,2049,C14909,N8192,6,1,52
2010-10-10 18:30:48,0,C5720,2049,C14909,N8193,6,1,52
2010-10-10 18:30:48,0,C8177,N7052,C7632,N77,6,1,48
2010-10-10 18:30:48,0,C925,N10487,C1707,N1,6,4,810
2010-10-10 18:30:48,0,C925,N10491,C1707,N1,6,4,810
2010-10-10 18:30:48,10,C3587,N10510,C528,445,6,17,4369
2010-10-10 18:30:48,10,C528,445,C3587,N10510,6,15,2418
2010-10-10 18:30:48,15,C1799,N5523,C1707,N1,6,6,1222
2010-10-10 18:30:48,6,C1707,N1,C1799,N5523,6,4,2755
2010-10-10 18:30:48,60,C4254,N24,C5720,445,6,20,2440
2010-10-10 18:30:48,60,C5720,445,C4254,N24,6,18,1552
2010-10-10 18:30:48,9,C3090,N10436,C14005,N46,6,3,144
2010-10-10 18:30:48,9,C3090,N10471,C3420,N46,6,3,144
2010-10-10 18:30:48,9,C3538,N2600,C3371,N46,6,3,144
2010-10-10 18:30:49,0,C4316,N10199,C5030,443,6,2,92
2010-10-10 18:30:49,0,C5030,443,C4316,N10199,6,1,46
2010-10-10 18:30:49,0,C7954,N10777,C5721,137,17,1,78
2010-10-10 18:30:49,1,C3173,N48,C1554,N10502,6,3,138
2010-10-10 18:30:49,10,C172,N10495,C1707,N1,6,6,1223
2010-10-10 18:30:49,10,C2683,N4699,C1685,N1,6,6,1209
2010-10-10 18:30:49,11,C500,N7057,C1685,N1,6,9,2901
2010-10-10 18:30:49,6,C1685,N1,C2683,N4699,6,4,2749
2010-10-10 18:30:49,6,C1685,N1,C500,N7057,6,6,2980
2010-10-10 18:30:49,6,C1707,N1,C172,N10495,6,4,2755
2010-10-10 18:30:49,60,C2588,N20,C770,N895,6,3,138
2010-10-10 18:30:49,60,C3640,445,C1294,N879,6,3,237
2010-10-10 18:30:50,0,C11573,111,C5736,N10778,17,1,56
2010-10-10 18:30:50,0,C5736,N10778,C11573,111,17,1,84
2010-10-10 18:30:50,0,C8177,N10444,C7632,N77,6,1,48
2010-10-10 18:30:50,10,C3352,N3262,C1685,N1,6,9,2988
2010-10-10 18:30:50,10,C54,N10485,C1685,N1,6,6,1223
2010-10-10 18:30:50,15,C528,445,C1587,N10779,6,9,1653
2010-10-10 18:30:50,4,C18263,N17,C2270,N17,1,5,420
2010-10-10 18:30:50,4,C2270,N44,C18263,N17,1,5,420
2010-10-10 18:30:50,6,C1685,N1,C3352,N3262,6,6,2972
